2013/8/12,8:32:02,GameData/魔法,HxNULrLwYok,2,2
2013/7/23,21:32:24,GameData/魔法,209wMHuch2Q,6,6
2013/4/29,16:54:36,GameData/魔法,abyRJ3l33Cd,6,6
2013/4/29,16:40:42,GameData/魔法,abyRJ3l33Cd,16,16
2013/4/15,20:57:11,GameData/魔法,YLyw6t4J3Cd,2,1
2013/4/15,20:43:07,GameData/魔法,YLyw6t4J3Cd,24,14
2013/4/15,1:17:00,GameData/魔法,up9ZyUnu3Cd,3,3
2013/4/15,1:02:45,GameData/魔法,up9ZyUnu3Cd,1,1
2013/4/15,0:39:16,GameData/魔法,up9ZyUnu3Cd,6,4
2013/4/15,0:15:03,GameData/魔法,up9ZyUnu3Cd,8,1
2013/4/9,13:53:16,GameData/魔法,zXAPwvgi3Cd,1,1
2013/3/24,17:00:31,GameData/魔法,tlysDBfUTY2,0,1
2013/3/11,16:12:33,GameData/魔法,LgjdbtYYyUu,13,5
2013/3/11,16:08:43,GameData/魔法,LgjdbtYYyUu,35,64
2013/3/11,15:53:00,GameData/魔法,LgjdbtYYyUu,0,1
2013/3/9,17:21:27,GameData/魔法,vy3IZCjlhAX,0,0
2013/3/9,17:21:06,GameData/魔法,vy3IZCjlhAX,66,1
2013/3/9,17:19:38,GameData/魔法,vy3IZCjlhAX,4,45
2013/2/9,12:03:50,GameData/魔法,rR5BukZVxLO,1,1
2012/9/1,20:12:47,GameData/魔法,gWYdC93GJJq,1,1
2012/8/31,16:12:40,GameData/魔法,pfiNp_42mPQ,1,1
2012/6/25,5:17:08,GameData/魔法,imxPL4Bj7iI,3,4
2012/6/23,12:45:16,GameData/魔法,N78e78_rNG1,2,2
2012/6/7,5:01:37,GameData/魔法,Inh6wXNkXxt,1,2
2012/6/4,0:27:16,GameData/魔法,hMGPDKaerLm,4,5
2012/5/23,1:39:46,GameData/魔法,KotZwxR3,3,0
2012/4/11,18:22:12,GameData/魔法,el7mMXsi,102,103
2012/4/11,9:51:47,GameData/魔法,xCXnf4UG,1,0
2012/4/5,0:06:33,GameData/魔法,wa9f8qOF,1,1
2012/3/17,19:17:56,GameData/魔法,kBRU-7hP,0,4
2012/3/17,19:16:17,GameData/魔法,kBRU-7hP,9,10
2012/3/14,14:49:29,GameData/魔法,jonUn6o-,1,1
2012/2/27,2:36:14,GameData/魔法,oDFDAtXR,1,1
2012/2/22,20:14:10,GameData/魔法,Yt0KzMFI,9,10
2012/2/10,11:08:43,GameData/魔法,l7KRIUaW,1,2
2012/2/10,11:06:01,GameData/魔法,l7KRIUaW,2,3
2012/1/28,15:26:58,GameData/魔法,BjEYmx1n,1,1
2012/1/27,4:04:24,GameData/魔法,VZBJvlP8,3,3
2012/1/16,11:54:08,GameData/魔法,dNVuo8IX,2,2
2012/1/16,11:51:08,GameData/魔法,dNVuo8IX,1,1
2012/1/15,19:19:54,GameData/魔法,UzEljPAe,3,3
2012/1/14,15:08:12,GameData/魔法,Ckb37w-w,15,16
2012/1/13,12:58:55,GameData/魔法,eIoET34G,9,10
2012/1/13,11:45:35,GameData/魔法,eIoET34G,10,10
2012/1/9,21:27:50,GameData/魔法,SrIRJ0UB,1,1
2012/1/8,19:25:20,GameData/魔法,yoQMu7RH,7,7
2012/1/8,16:19:09,GameData/魔法,lN8IOgyx,1,1
2012/1/8,16:18:13,GameData/魔法,lN8IOgyx,1,1
2012/1/8,16:16:32,GameData/魔法,yoQMu7RH,11,11
2012/1/8,16:12:44,GameData/魔法,yoQMu7RH,6,6
2012/1/8,16:02:25,GameData/魔法,yoQMu7RH,6,6
2012/1/7,16:11:06,GameData/魔法,MjvvtzZM,5,5
2012/1/3,21:58:47,GameData/魔法,F1Vjwhzf,1,1
2012/1/3,21:29:54,GameData/魔法,QYpDchqd,1,1
2012/1/3,18:52:40,GameData/魔法,76SqG5JC,1,1
2012/1/1,12:10:34,GameData/魔法,a04puA3I,2,2
2012/1/1,12:04:23,GameData/魔法,a04puA3I,1,2
2011/12/27,15:17:45,GameData/魔法,xM46hFB-,1,1
2011/12/20,16:41:34,GameData/魔法,nvXwRixf,5,5
2011/12/19,23:49:22,GameData/魔法,n7JyJeKR,1,1
2011/12/19,22:20:37,GameData/魔法,n7JyJeKR,1,1
